Price,Close,High,Low,Open,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,,
2026-01-26,151618.609375,155905.0000410914,151020.50835182448,154409.74748315255,20561689
2026-01-27,158995.203125,158995.203125,148727.80129310343,150023.6869612069,29423670
2026-01-28,161886.015625,162783.16718942425,159692.97846751846,162085.3826393165,29456431
2026-01-29,160191.40625,166072.73354853765,156602.79976275668,165673.9994943995,36087223
2026-01-30,159992.03125,165973.0417640187,159593.2972157321,159593.2972157321,40557267
2026-02-02,149924.0,159094.88297872338,149924.0,155207.2260638298,39748369
2026-02-03,166969.890625,166969.890625,156702.4883955224,157400.27301305972,36529813
2026-02-04,168564.828125,168863.87867755766,162583.81707384685,162982.55114392372,29943042
2026-02-05,158795.84375,163480.96908349026,157998.3756081293,161487.29872881356,38435228
2026-02-06,158098.046875,159792.66654516078,151120.20117433797,153612.2889245744,36358081
2026-02-09,165873.359375,168166.08008751503,164477.79024564303,168066.39657827525,25098971
2026-02-10,165275.265625,167567.98643885707,164976.21508406213,166870.20184333535,19369566
2026-02-11,167268.9375,168066.4056168057,161487.29365315853,163480.9639451728,22760242
2026-02-12,178034.75,179031.58510638296,169561.65159574468,170658.17021276595,41296011
2026-02-13,180626.53125,183816.4037665563,178333.81037872517,178931.9114755795,34454192
2026-02-19,189398.671875,190295.82347861843,186507.85004111842,187405.00164473685,27049388
2026-02-20,189498.359375,189697.72640222253,188003.10667083116,189398.67586138874,24213880
2026-02-23,192389.1875,196974.6292746114,189897.09957901554,193784.7567357513,26364684
2026-02-24,199367.015625,199367.015625,191392.33500000002,192389.170078125,28060617
2026-02-25,202855.953125,205348.0410012285,200363.8652487715,201859.11797450858,26987996
2026-02-26,217310.046875,218306.88195240824,205348.0259461009,205846.44348480503,30095763
2026-02-27,215814.796875,222294.22495669746,209335.36879330254,209335.36879330254,51774768
2026-03-03,194482.53125,211827.46227895952,194482.53125,208836.95692913892,54879010
2026-03-04,171655.0,195279.9912891986,171355.9494773519,183617.02090592333,89427954
2026-03-05,190993.609375,199067.97386319155,187504.68644800366,194382.84878979647,53959129
2026-03-06,187604.359375,189099.61197363178,180427.1469015675,185511.0057369155,29522650
2026-03-09,172950.90625,174944.576639049,166770.5280439481,172950.90625,43066020
